,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30
38,Ayaktan ağız ve diş tedavi hizmetleri ,,,,,,,,,,,,,0.0,0.0,0.0
39,Diğer ayaktan tedavi hizmetleri ,-22.318873026743212,-1.2491911762628205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.159936821865115,0.0,4.76289999999997,0.0
40,Tanısal görüntüleme hizmetleri ve medikal (tıbbi) laboratuvar hizmetleri ,,,,,,,,,,,,,0.0,0.0,0.0
41,Motorlu taşıtlar ,0.6731029587918824,0.6011713006061292,4.491953661728276,4.065470015871897,1.1595576882968972,2.5564142316343075,4.685061497027276,1.4415600238823156,2.8592280111637836,0.47055266312221455,0.28491794259515313,2.606602768278221,3.594556605687771,0.927618687406695,0.9133551193487355
42,Motosikletler ,5.836068231380365,1.5004771676269346,1.4280100712139143,1.6369011343748907,-0.036534784815256405,-0.9722421740779197,0.015237440859650064,0.8065827539189607,-0.9293387727375313,1.7387346405694393,3.4759387673303,2.236671910682886,1.7665451890696904,1.7195654792478754,0.2590298397813884
43,Bisikletler ,9.112282163467134,4.882088747107671,-3.4157703766076297,5.97767141011083,1.0412954169904953,1.1137568146501131,2.79237356114439,1.8669240003068577,0.7189642403994778,1.953605345990872,2.896571551796634,2.9827575268041917,2.7970747232317628,1.5673276022777571,0.43136281066025184
44,Kişisel ulaşım araçlarının parça ve aksesuarları ,,,,,,,,,,,,,1.4925775076707781,0.9734091541468759,1.6947735611271053
45,Kişisel ulaşım araçları için yakıtlar ve yağlar ,3.0508738254371393,-0.04282929932653001,0.6227660435542459,-0.3530621992894223,2.0807967930104088,4.602481078539689,1.0675366809482556,2.046384395895484,0.5477096747941834,2.798741081972067,-1.105725045898942,1.1034603738017346,5.113953200102972,8.344177246056006,12.944820520777922
46,Kişisel ulaşım araçlarının bakım ve onarımı ,16.007164219828283,14.545601798907981,-17.53488880558929,-3.7993739986695862,17.70681746082481,-13.807275484802506,8.630325386451055,4.820983115791266,28.635524610341044,0.5506844576820935,0.0,0.0,-3.3306690738754696e-14,9.399999999999963,4.547531992687404
47,Kişisel ulaşım araçları ile ilgili diğer hizmetler ,9.036564024342608,2.2366854987331264,3.360911697254987,0.51406480582874,4.755609669779126,0.45107018050567493,2.5926351978289297,-3.7917580415160135,-1.5753032105684128,-0.5857541075680817,-0.5225261148614657,19.942705550649077,2.962558212057975,1.302817234072573,-1.0555147257215403
48,Demir yolu ile yolcu taşımacılığı ,13.594988163724619,7.513004164916648,0.0,0.0,0.0,1.2629688075656453,0.4157389492716934,10.272772243508243,4.867807585786554,-0.06676457695953264,0.2974795235731964,7.8038454858895046,10.109472861442082,1.16528675265124,0.5962952020988288
49,Kara yolu ile yolcu taşımacılığı ,10.983776221057951,3.753198550585468,2.6053411423460737,-0.003361643548982496,12.453400464431773,0.9767431812386151,0.6698911472309499,-0.28061278347922824,-2.2516560798202745,1.706562952209123,-1.4116666040774883,1.5267997392839794,5.8649250529187125,9.079645346407661,1.2736396665543603
50,Hava yolu ile yolcu taşımacılığı ,-9.488399762046406,-18.131777850805086,42.09734069242344,5.120900904412884,12.361399137764973,14.990595020321361,-2.8721410617940646,-6.681926943415473,-2.8659194806808452,14.151118129732666,-30.519597528993025,51.6582160385187,-9.3282865998926,-5.763630078623461,-28.783598865454408
51,Deniz ve iç sularda yolcu taşımacılığı ,2.7027027027027195,0.0,0.2517162471395773,-0.00603080679515422,0.045908411017991924,2.1305494683915516,0.09128125447654956,10.262777253836086,15.61712004478868,0.0004762614986608682,-0.006230629875814131,1.1596311308082807,6.054105612256655,10.842618004282723,0.627835888929229
52,Posta ve kurye hizmetleri ,12.422569139347894,-0.02467269302983688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.10000030534807,0.0,8.550466245022449,0.0
53,Mobil telefon ekipmanları ,-0.2799921480775569,0.22510084362683536,1.1527647445850109,-0.9008228532246143,-0.7152092130428,0.47224493171822424,0.9626923075097604,1.3350012687184387,0.30265034701768556,-1.2793451401598488,0.5297496894075326,0.7965187672330787,-0.15502446662369884,-0.011099739184683433,0.9629455449530866
54,Bilgi işleme ekipmanları ,0.6748653934919968,0.483996948032539,0.181314691164558,-1.3027184975537676,-0.14719762562043215,1.5355633037742678,1.5132140550987216,0.9773088697325738,1.8234667047227981,2.2230217973518984,5.011962272894821,3.4652042647531855,1.4182343342845405,1.3806451839269984,2.2380550135027377
55,"Ses ve görüntü alma, kaydetme ve çoğaltma ekipmanları ",0.13327160506746427,-0.1813159143921217,1.4652734268438383,4.537528477975461,0.652296059600288,0.10041621301761783,0.2615931183675535,-0.4107551721766245,0.6970976064424761,-0.8181579389279547,1.379488418357111,2.2991696269238027,0.27592996656937707,0.32093098155283606,1.2941735368414031
56,Diğer bilgi ve iletişim ekipmanları ve aksesuarları ,,,,,,,,,,,,,0.580622880031556,0.8308690860178158,2.8135480729948092
57,Mobil iletişim hizmetleri ,-1.70562167683731,-2.850123662762516,-4.455814064340946,0.0037194991178379766,0.0,-0.016441547201861972,1.764720259197805,2.2230959140656648,-0.02270922151583754,2.3601302626193865,5.400145474814844,5.502482800850594,5.644583178539753,3.598914324309699,0.7748370447449471
58,İnternet erişimi sağlama hizmetleri ve ağ depolama hizmetleri ,-0.00822355468580449,-0.024672693029859083,0.006485640263154124,0.012112305769185205,0.17969093023759708,0.878733618384886,3.824933240685602,1.3968880491512792,-0.17986260943131382,1.9110341744835724,0.08412901567915743,4.842911272668604,4.209109204724926,11.103571576298975,0.2616656033873399
59,Bilgi ve iletişim ekipmanlarının onarımı ve kiralanması ,-3.2771888362980617,1.5871275781396132,3.0677358313577985,5.919022779795968,0.3614520368307783,1.4716219483656756,0.9424156942759776,16.323363193647843,-1.7535582665005434,4.735539285820045,3.5007610350075824,5.882352941176494,4.440892098500626e-14,2.220446049250313e-14,0.0
60,Diğer bilgi ve iletişim hizmetleri ,,,,,,,,,,,,,6.434636402142169,0.2145395585782195,0.0
61,"Oyunlar, oyuncaklar ve hobiler ",4.229498650483654,2.234440501708712,0.6624887456524009,1.43705155578433,0.36975596101500585,2.1345272490885137,0.24713029166474332,1.0717685963223422,0.5527505749598483,-0.1381346133142225,2.6798628548375003,3.0662345800501534,1.5542629125113505,0.915325555468538,0.9135311514294031
62,"Spor, kamp ve açık hava eğlence ekipmanları ",13.596915624802119,4.860154285536744,1.010960870093136,1.802201113880253,1.0360508411384473,1.6112754297511467,2.098353560580546,0.3428531289401793,1.8767847642631175,-0.7051966215280814,0.7497700091106951,1.3919522943645068,1.1495633227220026,1.7730631447812728,0.8838674000986035
63,Ev hayvanları ve ev hayvanları için ürünler ,1.5264987092097115,-0.7441508841848354,-0.1520301326361162,0.40505146682179305,0.43988310114499996,1.2407559827625425,1.1618585444908014,1.5438671946303328,0.8969222805542021,-0.26357167606988474,0.2946197884214907,2.585517895767242,2.6172447547010647,0.723445654537147,1.1435461051179319
64,Veterinerlik ve ev hayvanları için diğer hizmetler ,6.602602602895358,-0.024672693029881287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.07441381093508,-2.220446049250313e-14,-2.220446049250313e-14,2.220446049250313e-14
65,"Eğlence, dinlence ve spor hizmetleri",,,,,,,,,,,,,2.289472547310112,0.8784922845297416,-0.0006332878635495476
66,Şans oyunları ,,,,,,,,,,,,,4.172098516394729,0.0,0.0
67,Kitaplar ,3.6696211008382384,2.8075279518472884,1.532144624305909,0.46620069961900157,-0.6063141371294045,0.9764064126354999,1.0476031939309127,2.907887072889803,1.0470058963161444,-0.5838142586421124,2.5962838084681916,2.479016683157864,2.446576796121702,1.5474546782484833,1.4336062963050455
68,Kırtasiye ve çizim malzemeleri ,14.552256295327904,5.092928901525751,0.26213217275621314,0.2659857961017975,-0.14069516100949642,1.444511205380894,1.4025116979926366,1.017853447105277,0.9847357053791805,-1.0101803216738814,2.405950977957061,2.3583781019232752,1.924403173071787,4.571566261648363,3.862279896138854
69,Paket turlar ve tatiller ,,,,,,,,,,,,,-0.01709086634574808,-0.05542301803160843,-0.1827724704261957
70,Okul öncesi ve temel eğitim (ilkokul) ,-0.44488359225823837,-0.638698262741999,0.057473855394851725,0.056318624870210776,0.0,-0.0018724343011644606,0.0,16.93083333333336,1.1708918484973463,2.220446049250313e-14,0.0,15.234458729204281,4.074074074073963,7.791899999999985,7.050000000000023
71,Ortaöğretim eğitimi (ortaokul ve lise) ,8.5344676195517,17.751953177533043,0.0,0.0,0.0,10.27674484441392,0.0,0.0,0.0,0.0,0.0,5.2631578947368585,11.653574866335447,3.841899999999976,3.049999999999997
72,Yükseköğretim eğitimi ,11.984843733852868,2.0478145834066597,0.0,0.0,0.3777159137296815,-7.060640960787623e-09,-7.766708387535459e-08,73.44600000000001,0.0,0.0,0.0,-6.661338147750939e-14,-2.220446049250313e-14,0.0,0.0
