Grup,2026-02-28
Alkollü içecekler ve tütün,33.10300255724694
Ev eşyası,19.62637200832289
Eğitim,59.93027991533981
Eğlence ve kültür,18.09778343008506
Giyim ve ayakkabı,13.931172811882607
Gıda ve alkolsüz içecekler,37.94942416145082
Haberleşme,12.386444261350494
"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",45.67177491911034
Lokanta ve oteller,35.40269838071912
Sağlık,11.977816620088145
Ulaştırma,30.22236134735494
Çeşitli mal ve hizmetler,35.25518450215193
Web TÜFE,32.78230799332296
