,Mallar,Hizmet
2025-01-31,1.2726812939491554,1.153354972345157
2025-02-28,2.6886903567004357,0.5961309153221437
2025-03-31,2.845999208447514,0.6123282609552647
2025-04-30,1.6002645179388462,0.7361689584900306
2025-05-31,0.6880648987233295,0.7024931260481303
2025-06-30,0.40398199444561167,0.8904919830019979
2025-07-31,1.4757990115487662,0.8429239092190084
2025-08-31,1.1852179140621455,0.754449608599111
2025-09-30,1.3180783017531799,1.2948308441981693
2025-10-31,2.6399254233459386,0.4487908841582428
2025-11-30,0.6809065853013747,0.4509718115141304
2025-12-31,0.748187166625541,0.2851500069536445
2026-01-31,2.7006803574577356,2.443281585124803
2026-02-28,2.250618908109383,1.0173755771845379
2026-03-31,1.4524675936442732,1.0357333887366238
2026-04-30,2.6790698551437577,0.6787745782178647
2026-05-31,0.033509547231470566,0.6545047998936144
