,"Alkollü içecekler,tütün ve tütün ürünleri",Bilgi ve iletişim,Eğitim hizmetleri,"Eğlence, spor ve kültür",Gıda ve alkolsüz içecekler,Giyim ve ayakkabı,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler","Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokantalar ve konaklama hizmetleri,"Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",Sağlık,Sigorta ve finansal hizmetler,Ulaştırma
2025-01-31,0.045149955016122956,-0.000772671384480744,0.04298175817178124,0.009800120858600412,0.5226446091776189,0.007169281128615579,0.01573728178429726,0.6014242367764117,0.10592338969855496,0.10512308873933737,0.6705581248707913,0.0,0.30902070976423146
2025-02-28,0.0004976521132875216,-0.0389853108971169,0.16860764146695462,0.07017446393828608,0.9597227076797307,0.3515355871069326,0.19611314255971662,0.8243670482735322,0.30856411802812156,0.4792169773428061,-0.3054533495615802,-4.4600137253096234e-07,0.27323419852680625
2025-03-31,0.3762743552126337,-0.053782676327990095,0.17857165636854783,0.0298867477336669,1.4359060997347126,0.5162623004471728,0.1855063059181713,0.39381096860826326,0.09326640913407917,0.28815475709250665,-0.013758723551948645,-1.2954125420157312e-06,0.01986973412935539
2025-04-30,0.0,-0.06159990376030181,0.0003036465185430684,0.010743804828803839,0.5102423743829623,0.08886966895141941,0.10826971218802896,0.8327487679961301,0.35659165517842706,0.07267880511110401,0.0,0.0,0.41840471336217305
2025-05-31,0.0,0.017097140060335157,0.0002909152349558601,0.008972147566606355,-0.11089882332356807,-0.0007602665846786697,0.052579730980359396,0.5876519412309503,0.4037525678536214,0.12949597899709953,0.0,0.0,0.3022276655628241
2025-06-30,6.091674648949124e-06,-0.002567816021028143,0.0031177661243623127,0.001705139733856933,-0.05895414806200137,0.035357802657750105,0.05957335822539607,0.5227108677482516,0.32860449360055877,0.037179041758029295,-4.849024373511097e-05,0.0,0.3703905340648312
2025-07-31,0.1998459922423215,0.013583249091050494,0.10299370483252218,0.015904688054327237,0.19222284039857374,0.046647645239083775,0.036939325887213346,0.9378897756569647,0.21781456618987713,0.11007522693667762,0.00018535350698909944,0.0,0.44254976374168725
2025-08-31,0.2600926488029595,0.06190375690135085,-6.208763318319026e-10,0.012715483656470525,0.5759717986167219,-0.28931448590449155,0.0558228174949221,0.38527833563801855,0.3659004466230483,0.1073860520917534,-0.00016315437389755904,0.0,0.40268008323396987
2025-09-30,0.014673895750731684,0.06765544751998624,0.6576416261873875,0.016939032263158838,0.7759564855565928,0.10243322952883092,0.11565204068271435,0.4819397162228194,0.13756544805181548,0.06756416194349975,0.0016058225113804226,0.0,0.17305208132377445
2025-10-31,0.07294706987352377,0.008096149379970172,0.006437443725939164,0.011639093034383782,1.1431022741373784,0.8820743470030196,0.13370913291861147,0.39205590559317227,0.07817166549648367,0.10268914169943641,0.0008746109746993727,0.0,0.2541966888200126
2025-11-30,0.13649167112501845,0.03948917728539602,2.6179823748114643e-16,-0.005376390661626717,0.41064378540501456,-0.07846432917468432,0.0018165356961423631,0.3426982548838194,0.04780674850614715,-0.0023988773146771812,-9.583198107246282e-05,0.0,0.24388544972185905
2025-12-31,-3.8752302141465395e-05,0.11467384592148719,0.0,0.01881525987532737,0.4342213276135914,0.04292196969891837,0.06497058592911975,0.2723715402734223,0.0884864008088169,0.10271023887116251,0.044813472557966874,0.0,-0.15620979368218324
2026-01-31,0.0574239108724754,0.09455906016068538,0.10280091083744937,0.2230835876805364,1.7069276053051854,0.18618322067145585,0.18060357825495243,0.5509490098948707,0.548089750238707,0.330210469689174,0.2751610804738655,0.03518984757057257,0.7662548180757012
2026-02-28,0.06785154841910049,0.08014824107730079,0.08794516874559186,0.06594302194838127,1.8147850752191759,-0.4695466824449532,0.14565995314368813,0.3300174093965931,0.23271598506569272,0.143547661648777,0.019128849326742806,0.09395006065125766,0.5752335678362779
2026-03-31,0.1451157187111313,0.06855745975507493,0.06491936515148031,0.033751502026306994,0.76606745402099,-0.16327188851660268,0.07652598674228354,0.24704032194382686,0.10423376985717851,0.07717797792345042,0.05348326541448448,0.030383710102493605,0.5675078664119649
