,Gıda ve alkolsüz içecekler,Enerji,Enerji ve gıda dışı mallar,Hizmet
2025-01-31,0.5201458213852315,0.5880567497487201,0.16447872281520381,1.153354972345157
2025-02-28,0.9574508410014173,0.5575778043291886,1.17366171136983,0.5961309153221437
2025-03-31,1.4387508529435735,0.008374973040700605,1.3988733824632393,0.6123282609552647
2025-04-30,0.5106257675954166,0.48812321069959597,0.6015155396438335,0.7361689584900306
2025-05-31,-0.10986685225370196,0.24782650398108325,0.5501052469959483,0.7024931260481303
2025-06-30,-0.059999680295825544,0.25049616308468003,0.2134855116567572,0.8904919830019979
2025-07-31,0.1929687412669216,0.7106329482303614,0.5721973220514833,0.8429239092190084
2025-08-31,0.5757852578261542,0.10182171638168679,0.5076109398543045,0.754449608599111
2025-09-30,0.7754634666367339,0.14149892869477548,0.40111590642167055,1.2948308441981693
2025-10-31,1.1427763678202325,0.11549903692924875,1.3816500185964573,0.4487908841582428
2025-11-30,0.4064480898274796,0.20596658821913183,0.06849190725476323,0.4509718115141304
2025-12-31,0.43760464056560905,-0.02549150695287541,0.3360740330128073,0.2851500069536445
2026-01-31,1.7624157594975094,0.0388245920048957,0.8994400059553306,2.443281585124803
2026-02-28,1.892688883505901,0.3113614545155704,0.04656857008791167,1.0173755771845379
2026-03-31,0.8505322077691311,0.3500916921680083,0.2518436937071339,1.0357333887366238
2026-04-30,0.9416922948519564,0.9579055589986443,0.779472001293157,0.6787745782178647
2026-05-31,-0.5244008924904325,-0.049582354325150485,0.6074927940470536,0.6545047998936144
