,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler
2025-01-31,0.04514995501612256,0.10483796476789463,0.042981758171780876,0.009687883377448352,0.006970956905938759,0.5226463606899912,-0.0006604339033287521,0.0,0.10592338969855405,0.6705581248707856,0.3090207097642289,0.015668425837050873
2025-02-28,0.0004976521132875174,0.472909794780385,0.16860764146695317,0.07274734877487235,0.348460251893099,0.9597227076797223,-0.041558195733703444,0.0,0.308564118028119,-0.3054533495615776,0.27323419852680386,0.18673476497515867
2025-03-31,0.37627435521263064,0.28472887965157473,0.17857165636854633,0.030072166968199605,0.5097669479060774,1.4359060997346997,-0.05396809556252258,0.0,0.09326640913407831,-0.013758723551948532,0.019869734129355197,0.18302058263911603
2025-04-30,0.0,0.07193457279898512,0.0003036465185430658,0.019404667788366733,0.08849064562082945,0.5102423743829578,-0.07026076671986427,0.0,0.35659165517842406,0.0,0.41840471336216956,0.10792950756667932
2025-05-31,0.0,0.1290942709433876,0.0002909152349558576,0.030993193899709878,-0.0007128797348616555,-0.1108950072744795,-0.004923906272768584,0.0,0.4037525678536179,0.0,0.3022276655628217,0.05187306576280533
2025-06-30,6.0916746489490725e-06,0.03724118765950815,0.003117766124362286,0.0050910404548495,0.03471888924236629,-0.0589814061058247,-0.005953716742020702,0.0,0.32860449360055605,-4.849024373511055e-05,0.3703905340648281,0.060295497414963636
2025-07-31,0.19984599224231983,0.10957328177384466,0.10299370483252132,0.020082534215975383,0.04585836383338003,0.19225004617450545,0.009405402929402099,0.0,0.2178145661898753,0.00018535350698909784,0.4425497637416835,0.03657972148786302
2025-08-31,0.26009264880295735,0.10588406820878114,-6.208763318318975e-10,0.017698584442205338,-0.2853389199514218,0.5759863542159472,0.056920656115615406,0.0,0.3659004466230453,-0.00016315437389755765,0.4026800832339666,0.054022578797204894
2025-09-30,0.014673895750731561,0.06667899646051528,0.6576416261873821,0.016958082831572106,0.10030355851225455,0.7759983773591548,0.06763639695157227,0.0,0.13756544805181437,0.0016058225113804092,0.17305208132377303,0.11479026153790345
2025-10-31,0.07294706987352316,0.10199179889885902,0.006437443725939111,0.019513168193237097,0.8501110174658273,1.1430187047067053,0.00022207422111669088,0.0,0.07817166549648302,0.0008746109746993652,0.25419668882001045,0.13167245778021483
2025-11-30,0.13649167112501734,-0.0027990980004364914,2.617982374811442e-16,-0.004594857238840498,-0.07524280052384502,0.4106650199658575,0.03870764386260952,0.0,0.04780674850614677,-9.583198107246202e-05,0.243885449721857,0.0014854702137870276
2025-12-31,-3.875230214146507e-05,0.10329319710580143,0.0,0.03728833191579725,0.03804330174750808,0.4341533453461463,0.09620077388101618,0.0,0.08848640080881617,0.04481347255796649,-0.1562097936821819,0.06417773953396026
2026-01-31,0.05742391087247541,0.3308686855252548,0.10280091083744937,0.24342117510686048,0.18618322067145585,1.7069276053051823,0.08040684898118715,0.0,0.548089750238707,0.2751610804738655,0.7662548180757011,0.24684516981070387
2026-02-28,0.06785154841910049,0.14377868737450442,0.08794516874559186,0.07613462440298265,-0.4695466824449532,1.8148074922524013,0.07067921769345464,0.0,0.23271598506569272,0.019128849326742806,0.5752335678362779,0.2396100137949457
2026-03-31,0.1451536812139193,0.09053082300033438,0.06491935104811745,0.039121294560173964,-0.1603239012950847,0.8326852716482366,0.06628487997713799,0.0,0.19607108863297282,0.06942614906792619,0.8152338543675134,0.10850636840251299
2026-04-30,0.002353321320796762,0.19672124712458156,0.05828411999502325,0.016349504836989635,0.29767931129354946,1.1171427222502541,0.018399197286958227,0.0,0.4396488256168911,0.12158651036339989,0.3907247486286528,0.07223929347600748
