,"Alkollü içecekler, tütün ve altın",Dayanıklı mallar (Altın hariç),Diğer Hizmetler,Diğer işlenmemiş gıda,Diğer işlenmiş gıda,Diğer temel mallar,Ekmek ve diğer tahıllar,Enerji,Giyim ve ayakkabı,Haberleşme Hizmetleri,Kira,Lokanta ve oteller,Taze meyve ve sebze,Ulaştırma Hizmetleri
2025-01-31,0.04625375532745311,0.07149502339598114,0.8027113929429788,0.1514707371046481,0.14637137713542464,0.04050944824599585,0.06928423999219485,0.5880567497487201,0.006220495845773715,0.0,0.1264155165876463,0.10549485703098546,0.15301946715296388,0.11873320578354642
2025-02-28,0.0387756766393041,0.2551725646312224,-0.05059677276059536,0.23496711542552673,0.537787135521869,0.5320807076822922,0.37926600378438846,0.5575778043291886,0.3476327624170113,-0.036438720844280195,0.32182111139576736,0.3085608426488376,-0.19456941373036687,0.05278445488241435
2025-03-31,0.4047428718675467,0.17908330925607113,0.3114888750815639,0.3320516815009235,0.19923205629872567,0.29512353339994646,0.056888721042316175,0.008374973040700605,0.519923667939675,-0.05713876500773997,0.281500600716951,0.09312043814938178,0.8505783941016081,-0.016642887984892035
2025-04-30,0.057308662480198315,0.3788880777103871,0.03112589283366747,0.36134346090761105,0.16015532857036663,0.07421202816618237,0.08555800070340863,0.48812321069959597,0.09110677128706586,-0.08408139062500003,0.3317301254504832,0.35700319315940776,-0.09643102258596975,0.10039113767147208
2025-05-31,0.030646827116030635,0.38345828266470966,0.0026130559201645674,0.025422863011741702,0.14579466409573696,0.13793641447187519,0.03297040340878312,0.24782650398108325,-0.0019362772566671798,0.0001232504250884942,0.2828591893690554,0.4035599623020719,-0.31405478276996374,0.013337668031749834
2025-06-30,0.011730490380008634,0.12777929644786273,0.0705173870107344,0.10142206811565488,0.014038102380534753,0.03563343174281218,0.08684901110383761,0.25049616308468003,0.038342293086073606,0.0008434001538340628,0.3673832415614522,0.3287064172303339,-0.2623088618958528,0.1230415370456433
2025-07-31,0.20915137773667053,0.2560509574771909,0.12789995277074268,0.0034650849586972134,0.10821085172069646,0.05939722789063622,0.16488232491361057,0.7106329482303614,0.04759775894698562,0.0037982865892841325,0.43754063791342024,0.2179693850484747,-0.08358952032608268,0.05571564689708656
2025-08-31,0.2722073062092409,0.4423746516808593,0.04933562074961608,0.0622441384779435,0.27390378876746035,0.0847052832160416,0.1212459280780856,0.10182171638168679,-0.29167630125183736,0.04658798753185637,0.2987180832685482,0.3644162990930315,0.11839140250266478,-0.004608382043941132
2025-09-30,0.051884856623551315,0.18522287866617082,0.7153608183013616,0.2964479357781337,0.30416314265571776,0.06513643545669831,0.14342349441520214,0.14149892869477548,0.09887173567525015,0.04427011254002817,0.4156823133093309,0.13906515498825187,0.03142889378768027,-0.01954755494080331
2025-10-31,0.159466093806434,0.25889098916722114,0.11115175713049125,0.1958230721784067,0.4017038771170044,0.0866475235693813,0.27043370305668885,0.11549903692924875,0.8766454120534207,-0.0012079866015036428,0.2784586941886858,0.07826184474231314,0.27481571546813244,-0.017873425301743736
2025-11-30,0.14762366197993243,0.021469576010846432,0.019455113527489572,-0.02186499627380633,0.23303987772672335,-0.022117176445120384,0.1140754601903855,0.20596658821913183,-0.07848415429089525,0.046569552377533074,0.28625854298563036,0.04778658905119082,0.08119774818417705,0.05090201357228659
2025-12-31,0.012227945930399109,0.12314567076979104,0.012888167136940116,0.46572163352518725,0.14283007234366935,0.15700572220762238,0.050265135987689336,-0.02549150695287541,0.043694694104994776,0.08861842347904317,0.20121648581345913,0.08846038974833216,-0.22121220129093688,-0.10603345922413011
2026-01-31,0.08649546258157208,0.3572432546253262,0.7456347494898284,0.33261337870529784,0.3063081467617427,0.2715120842502842,0.17066094266715537,0.0388245920048957,0.18418920449814807,0.07139486121352874,0.5141670058247733,0.547986459471919,0.9528332913633135,0.5640985091247539
2026-02-28,0.11716930398674935,0.29218741599314946,0.31454183061032426,0.25004098829723564,0.31313755225846657,0.10711035497560374,0.24882865981322413,0.3113614545155704,-0.4698985048675909,0.07148323854913452,0.20934707539136468,0.232592962559662,1.0806816831369748,0.18941047007405254
2026-03-31,0.14724544258648783,0.09498331244593727,0.1816780040765273,0.2314871597292819,0.11600887718111283,0.17080498064827587,0.06450072962709415,0.3500916921680083,-0.16119004197356707,0.0659862480295694,0.1851010942797181,0.19497218620803278,0.4385354412316422,0.40799585614277617
2026-04-30,-0.015347489119471959,0.180407274240212,0.09795089014581905,0.18866905204653445,0.18872715907698007,0.27233391500394805,0.14290100481922474,0.9579055589986443,0.3420783011684689,0.012103903942534317,0.17542007288821998,0.5023790500571772,0.4213950789092171,-0.10907933881588597
2026-05-31,-0.009244709392937915,0.07992338104659635,0.13353170695920094,0.11653343056169567,0.11599918087166129,0.04013400988148175,0.15892512586759341,-0.049582354325150485,0.49668011251191335,0.03694114704437689,0.06252044425227872,0.24402335603431793,-0.9158586297913829,0.17748814560343992
